| 2026-03-21 14:55:07 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 15:07:36 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 15:07:39 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 15:08:00 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 15:08:04 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 15:59:26 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 15:59:31 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:00:11 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:00:15 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:12:38 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:12:44 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:36:21 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:36:25 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:40:48 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:40:53 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:46:49 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 16:46:58 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 17:25:09 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 17:25:13 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:08:05 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:08:11 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:08:26 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:08:30 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:11:13 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:11:17 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:11:37 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:11:42 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:12:04 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:12:08 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:12:26 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:12:30 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:13:05 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:13:10 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:13:16 | INFO | audit | [T08] audit layer uses non-colored console
| 2026-03-21 18:13:21 | INFO | audit | [T08] audit layer uses non-colored console
